,0,1,2
0,,,7.6
1,9.2,89,8.5
2,9.9,96,9.2
3,,,7.9
4,,,
5,5,,7.9
6,6,,8.2
7,7.6,,8
8,8.3,,8.2
9,6.9,74,7.9
10,7.2,,7.8
11,,,0
12,,,4.6
13,,,
14,,,0
15,5.6,,5.5
16,7.2,,8
17,,,3.8
18,,,8.1
19,,,0
20,5.2,,7.3
21,5.9,,6.1
22,,,
23,,,
24,,,
25,,,
26,,,8.3
27,,,
28,,,
29,,,
30,5.2,51,5.1
31,,,
32,,,
33,,,7.4
34,8.4,,8.9
35,6.2,,5.6
36,7.8,57,5.8
37,3.5,,7.4
38,7.5,,7.5
39,7.3,,7.7
40,,,
41,3.3,,5.7
42,,,0
43,5.7,,7.2
44,5,,4.2
45,4.2,,6.2
46,6,69,7
47,7.7,,7.7
48,,,
49,8.3,78,8.3
50,5.8,,7.7
51,9,87,8.5
52,4.6,,7.7
53,9.9,91,8.8
54,,,7.9
55,6.7,,7.7
56,,,
57,,,
58,,,
59,,,
60,,,
61,,,
62,,,
63,,,
64,,,
65,,,
66,,,
67,,,
68,,,
69,,,
70,,,
71,,,
72,,,
73,,,
74,,,
75,,,
76,,,
77,,,
78,,,
79,,,
80,,,
81,,,
82,,,
83,,,
84,,,
85,,,
86,,,
87,,,8.4
88,,76,8.5
89,,,
90,7.5,76,8
91,,,
92,,,
93,,,7.9
94,,,
95,,,8.2
96,,,
97,,,
98,,,8.2
99,8.2,85,8.5
